['shall suffer hunger'],"` But we must provide for the winter or else we shall suffer hunger , ' said the Cat .",,
['nightingale said emperor'],` Here is a most remarkable bird which is called a Nightingale ! 'said the Emperor .,,
['glorious thing kingdom'],` They say it is the most glorious thing in my kingdom .,,
['mentioned said lord'],I have never before heard it mentioned ! 'said the First Lord . ',,
['stairs halls corridors'],"The First Lord ran up and down stairs , through the halls and corridors ; but none of those he met had ever heard of the Nightingale .",,
['emperor told invention'],"And the First Lord ran again to the Emperor , and told him that it must be an invention on the part of those who had written the books .",,
['really believe written'],` Your Imperial Majesty can not really believe all that is written !,,
['inventions called black'],There are some inventions called the Black Art ! ',,
['japan untrue hear'],"` But the book in which I read this , ' said the Emperor , ` is sent me by His Great Majesty the Emperor of Japan ; so it can not be untrue , and I will hear the Nightingale !",,
['trampled foot supper'],"She has my gracious permission to appear , and if she does not , the whole Court shall be trampled under foot after supper ! '",,
['ran stairs halls'],"` Tsing pe ! 'said the First Lord ; and he ran up and down stairs , through the halls and corridors , and half the Court ran with him , for they did not want to be trampled under foot .",,
['nightingale world knew'],"Everyone was asking after the wonderful Nightingale which all the world knew of , except those at Court .",,
['little girl kitchen'],"At last they met a poor little girl in the kitchen , who said , ` Oh !",,
['wood hear nightingale'],"I have permission to carry the scraps over from the Court meals to my poor sick mother , and when I am going home at night , tired and weary , and rest for a little in the wood , then I hear the Nightingale singing !",,
['tears eyes feel'],"It brings tears to my eyes , and I feel as if my mother were kissing me ! '",,
['kitchenmaid said lord'],"` Little kitchenmaid ! 'said the First Lord , ' I will give you a place in the kitchen , and you shall have leave to see the Emperor at dinner , if you can lead us to the Nightingale , for she is invited to come to Court this evening . '",,
['wood nightingale wont'],"And so they all went into the wood where the Nightingale was wont to sing , and half the Court went too .",,
['heard cow mooing'],When they were on the way there they heard a cow mooing .,,
['oh said courtiers'],"` Oh ! 'said the Courtiers , ` now we have found her !",,
['power small beast'],What a wonderful power for such a small beast to have !,,
['cow mooing said'],` No ; that is a cow mooing ! 'said the little kitchenmaid .,,
['frogs began croak'],Then the frogs began to croak in the marsh .,,
['said chinese chaplain'],` Splendid ! 'said the Chinese chaplain .,,
['little church bell'],` Now we hear her ; it sounds like a little church-bell ! ',,
['frogs said little'],"` No , no ; those are frogs ! 'said the little kitchenmaid .",,
['shall soon hear'],` But I think we shall soon hear her now ! ',,
['nightingale began sing'],Then the Nightingale began to sing .,,
['cried little girl'],` There she is ! 'cried the little girl .,,
['grey bird branches'],And she pointed to a little dark-grey bird up in the branches .,,
['possible said lord'],` Is it possible ! 'said the First Lord . ',,
['surely lost feathers'],She must surely have lost her feathers because she sees so many distinguished men round her ! ',,
['emperor wants sing'],"` Little Nightingale , ' called out the little kitchenmaid , ` our Gracious Emperor wants you to sing before him ! '",,
['nightingale sang gloriously'],` With the greatest of pleasure ! 'said the Nightingale ; and she sang so gloriously that it was a pleasure to listen .,,
['bells said lord'],` It sounds like glass bells ! 'said the First Lord .,,
['little throat works'],` And look how her little throat works !,,
['great success court'],She will be a great success at Court . ',,
['emperor asked nightingale'],"` Shall I sing once more for the Emperor ? 'asked the Nightingale , thinking that the Emperor was there .",,
['imperial highness enchanted'],"` My esteemed little Nightingale , ' said the First Lord , ' I have the great pleasure to invite you to Court this evening , where His Gracious Imperial Highness will be enchanted with your charming song ! '",,
['heard emperor wished'],"` It sounds best in the green wood , ' said the Nightingale ; but still , she came gladly when she heard that the Emperor wished it .",,
['palace splendidly prepared'],At the Palace everything was splendidly prepared .,,
['walls floors glittered'],The porcelain walls and floors glittered in the light of many thousand gold lamps ; the most gorgeous flowers which tinkled out well were placed in the corridors .,,
['hurrying draught bells'],There was such a hurrying and draught that all the bells jingled so much that one could not hear oneself speak .,,
['golden perch nightingale'],"In the centre of the great hall where the Emperor sat was a golden perch , on which the Nightingale sat .",,
['kitchenmaid allowed stand'],"The whole Court was there , and the little kitchenmaid was allowed to stand behind the door , now that she was a Court-cook .",,
['bird emperor nodded'],"Everyone was dressed in his best , and everyone was looking towards the little grey bird to whom the Emperor nodded .",,
['sang gloriously tears'],The Nightingale sang so gloriously that the tears came into the Emperor 's eyes and ran down his cheeks .,,
['nightingale sang beautifully'],Then the Nightingale sang even more beautifully ; it went straight to all hearts .,,
['emperor delighted said'],The Emperor was so delighted that he said she should wear his gold slipper round her neck .,,
['nightingale thanked said'],"But the Nightingale thanked him , and said she had had enough reward already . '",,
['seen tears emperor'],I have seen tears in the Emperor 's eyes -- that is a great reward .,,
['emperor tears power'],An Emperor 's tears have such power ! ',,
['sang gloriously sweet'],Then she sang again with her gloriously sweet voice .,,
['charming coquetry seen'],` That is the most charming coquetry I have ever seen ! 'said all the ladies round .,,
['water mouths gurgle'],And they all took to holding water in their mouths that they might gurgle whenever anyone spoke to them .,,
['chambermaids announced pleased'],"Yes , the lackeys and chambermaids announced that they were pleased ; which means a great deal , for they are the most difficult people of all to satisfy .",,
['nightingale real success'],"In short , the Nightingale was a real success .",,
['court cage permission'],"She had to stay at Court now ; she had her own cage , and permission to walk out twice in the day and once at night .",,
['silken string fastened'],"She was given twelve servants , who each held a silken string which was fastened round her leg .",,
['little pleasure flying'],There was little pleasure in flying about like this .,,
['talking wonderful bird'],"The whole town was talking about the wonderful bird , and when two people met each other one would say ` Nightin , ' and the other ` Gale , ' and then they would both sigh and understand one another .",,
['grocer children called'],"Yes , and eleven grocer 's children were called after her , but not one of them could sing a note .",,
['parcel written nightingale'],One day the Emperor received a large parcel on which was written ` The Nightingale . ',,
['bird said emperor'],` Here is another new book about our famous bird ! 'said the Emperor .,,
['box artificial nightingale'],"But it was not a book , but a little mechanical toy , which lay in a box -- an artificial nightingale which was like the real one , only that it was set all over with diamonds , rubies , and sapphires .",,
['real bird sang'],"When it was wound up , it could sing the piece the real bird sang , and moved its tail up and down , and glittered with silver and gold .",,
['neck little collar'],"Round its neck was a little collar on which was written , ` The Nightingale of the Emperor of Japan is nothing compared to that of the Emperor of China . '",,
['clockwork bird received'],"` This is magnificent ! 'they all said , and the man who had brought the clockwork bird received on the spot the title of ` Bringer of the Imperial First Nightingale . '",,
['sing duet shall'],` Now they must sing together ; what a duet we shall have ! ',,
['bird sang waltzes'],"And so they sang together , but their voices did not blend , for the real Nightingale sang in her way and the clockwork bird sang waltzes .",,
['bandmaster keeps good'],` It is not its fault ! 'said the bandmaster ; ` it keeps very good time and is quite after my style ! ',,
['artificial bird sing'],Then the artificial bird had to sing alone .,,
['sparkled like bracelets'],"It gave just as much pleasure as the real one , and then it was so much prettier to look at ; it sparkled like bracelets and necklaces .",,
['thirty times sang'],Three-and-thirty times it sang the same piece without being tired .,,
['living nightingale sing'],"People would like to have heard it again , but the Emperor thought that the living Nightingale should sing now -- but where was she ?",,
['away green woods'],No one had noticed that she had flown out of the open window away to her green woods .,,
['shall said emperor'],` What SHALL we do ! 'said the Emperor .,,
['said nightingale ungrateful'],"And all the Court scolded , and said that the Nightingale was very ungrateful .",,
['bird sing thirty'],"` But we have still the best bird ! 'they said and the artificial bird had to sing again , and that was the thirty-fourth time they had heard the same piece .",,
['know heart difficult'],But they did not yet know it by heart ; it was much too difficult .,,
['beautiful plumage diamonds'],"And the bandmaster praised the bird tremendously ; yes , he assured them it was better than a real nightingale , not only because of its beautiful plumage and diamonds , but inside as well .",,
['known artificial bird'],"` For see , my Lords and Ladies and your Imperial Majesty , with the real Nightingale one can never tell what will come out , but all is known about the artificial bird !",,
['open people waltzes'],"You can explain it , you can open it and show people where the waltzes lie , how they go , and how one follows the other ! '",,
['received permission bird'],` That 's just what we think ! 'said everyone ; and the bandmaster received permission to show the bird to the people the next Sunday .,,
['hear sing commanded'],"They should hear it sing , commanded the Emperor .",,
['pleased intoxicated tea'],"And they heard it , and they were as pleased as if they had been intoxicated with tea , after the Chinese fashion , and they all said ` Oh ! 'and held up their forefingers and nodded time .",,
['poor fishermen heard'],"But the poor fishermen who had heard the real Nightingale said : ` This one sings well enough , the tunes glide out ; but there is something wanting -- I do n't know what ! '",,
['real nightingale banished'],The real Nightingale was banished from the kingdom .,,
['silken cushions emperor'],"The artificial bird was put on silken cushions by the Emperor 's bed , all the presents which it received , gold and precious stones , lay round it , and it was given the title of Imperial Night-singer , First from the left .",,
['distinguished heart emperor'],"For the Emperor counted that side as the more distinguished , being the side on which the heart is ; the Emperor 's heart is also on the left .",,
['volumes artificial bird'],And the bandmaster wrote a work of twenty-five volumes about the artificial bird .,,
['hardest chinese words'],"It was so learned , long , and so full of the hardest Chinese words that everyone said they had read it and understood it ; for once they had been very stupid about a book , and had been trampled under foot in consequence .",,
['court chinese knew'],"The Emperor , the Court , and all the Chinese knew every note of the artificial bird 's song by heart .",,
['liked better sing'],"But they liked it all the better for this ; they could even sing with it , and they did .",,
['boys sang tra'],"The street boys sang ` Tra-la-la-la-la , and the Emperor sang too sometimes .",,
['bird singing best'],"But one evening , when the artificial bird was singing its best , and the Emperor lay in bed listening to it , something in the bird went crack .",,
['ran music ceased'],Whir-r-r !all the wheels ran down and then the music ceased .,,
['sprang physician summoned'],"The Emperor sprang up , and had his physician summoned , but what could HE do !",,
['talking examining bird'],"Then the clockmaker came , and , after a great deal of talking and examining , he put the bird somewhat in order , but he said that it must be very seldom used as the works were nearly worn out , and it was impossible to put in new ones .",,
['year artificial bird'],"Only once a year was the artificial bird allowed to sing , and even that was almost too much for it .",,
['speech hard words'],"But then the bandmaster made a little speech full of hard words , saying that it was just as good as before .",,
['course just good'],"And so , of course , it WAS just as good as before .",,
['great sorrow came'],"So five years passed , and then a great sorrow came to the nation .",,
['look emperor ill'],"The Chinese look upon their Emperor as everything , and now he was ill , and not likely to live it was said .",,
['new emperor chosen'],"Already a new Emperor had been chosen , and the people stood outside in the street and asked the First Lord how the old Emperor was .",,
['left pay respects'],"Cold and pale lay the Emperor in his splendid great bed ; the whole Court believed him dead , and one after the other left him to pay their respects to the new Emperor .",,
['corridors cloth laid'],"Everywhere in the halls and corridors cloth was laid down so that no footstep could be heard , and everything was still -- very , very still .",,
['came break silence'],And nothing came to break the silence .,,
['emperor longed come'],The Emperor longed for something to come and relieve the monotony of this deathlike stillness .,,
['music carry thoughts'],"Music would carry his thoughts away , and would break the spell lying on him .",,
['open window silent'],"The moon was streaming in at the open window ; but that , too , was silent , quite silent .",,
['golden bird sing'],"` You little bright golden bird , sing !do sing !",,
['neck hand sing'],I gave you gold and jewels ; I have hung my gold slipper round your neck with my own hand -- sing !do sing ! ',,
['silent terribly silent'],"And all was silent , so terribly silent !",,
['window glorious burst'],All at once there came in at the window the most glorious burst of song .,,
['living nightingale sitting'],"It was the little living Nightingale , who , sitting outside on a bough , had heard the need of her Emperor and had come to sing to him of comfort and hope .",,
['blood flowed quicker'],"And as she sang the blood flowed quicker and quicker in the Emperor 's weak limbs , and life began to return .",,
['thank said emperor'],"` Thank you , thank you ! 'said the Emperor .",,
['divine little bird'],` You divine little bird !,,
['chased kingdom given'],"I chased you from my kingdom , and you have given me life again !",,
['brought tears eyes'],I brought tears to your eyes the first time I sang .,,
['jewels rejoice singer'],They are jewels that rejoice a singer 's heart .,,
['sleep strong sing'],But now sleep and get strong again ; I will sing you a lullaby . ',,
['calm sleep sang'],"And the Emperor fell into a deep , calm sleep as she sang .",,
['window awoke strong'],"The sun was shining through the window when he awoke , strong and well .",,
['come thought dead'],"None of his servants had come back yet , for they thought he was dead .",,
['nightingale sat sang'],But the Nightingale sat and sang to him .,,
['stay said emperor'],` You must always stay with me ! 'said the Emperor .,,
['bird thousand pieces'],"` You shall sing whenever you like , and I will break the artificial bird into a thousand pieces . '",,
['did work long'],` He did his work as long as he could .,,
['nest palace live'],I can not build my nest in the Palace and live here ; but let me come whenever I like .,,
['outside window sing'],"I will sit in the evening on the bough outside the window , and I will sing you something that will make you feel happy and grateful .",,
['sing joy sorrow'],"I will sing of joy , and of sorrow ; I will sing of the evil and the good which lies hidden from you .",,
['bird flies poor'],"The little singing-bird flies all around , to the poor fisherman 's hut , to the farmer 's cottage , to all those who are far away from you and your Court .",,
['heart crown brightness'],"I love your heart more than your crown , though that has about it a brightness as of something holy .",,
['fastening sword richly'],"Now I will sing to you again ; but you must promise me one thing -- ' ` Anything ! 'said the Emperor , standing up in his Imperial robes , which he had himself put on , and fastening on his sword richly embossed with gold .",,
['little bird tells'],Do n't tell anyone that you have a little bird who tells you everything .,,
['nightingale flew away'],Then the Nightingale flew away .,,
['look dead emperor'],The servants came in to look at their dead Emperor .,,
['said good morning'],"The Emperor said , ` Good-morning ! '",,
['child heir kingdom'],"Once upon a time there were a King and a Queen who had an only daughter , called Hadvor , who was fair and beautiful , and being an only child , was heir to the kingdom .",,
['good looking clever'],"The King and Queen had also a foster son , named Hermod , who was just about the same age as Hadvor , and was good-looking , as well as clever at most things .",,
['secretly plighted troth'],"Hermod and Hadvor often played together while they were children , and liked each other so much that while they were still young they secretly plighted their troth to each other .",,
['queen fell sick'],"As time went on the Queen fell sick , and suspecting that it was her last illness , sent for the King to come to her .",,
['married wife promise'],"When he came she told him that she had no long time to live , and therefore wished to ask one thing of him , which was , that if he married another wife he should promise to take no other one than the Queen of Hetland the Good .",,
['promise queen died'],"The King gave the promise , and thereafter the Queen died .",,
['growing tired living'],"Time went past , and the King , growing tired of living alone , fitted out his ship and sailed out to sea .",,
['long trouble land'],"As he sailed there came upon him so thick a mist that he altogether lost his bearings , but after long trouble he found land .",,
['ship went shore'],"There he laid his ship to , and went on shore all alone .",,
['time came forest'],"After walking for some time he came to a forest , into which he went a little way and stopped .",,
['sweet music harp'],"Then he heard sweet music from a harp , and went in the direction of the sound until he came to a clearing , and there he saw three women , one of whom sat on a golden chair , and was beautifully and grandly dressed ; she held a harp in her hands , and was very sorrowful .",,
['finely dressed younger'],"The second was also finely dressed , but younger in appearance , and also sat on a chair , but it was not so grand as the first one 's .",,
['clothes easy maid'],"The third stood beside them , and was very pretty to look at ; she had a green cloak over her other clothes , and it was easy to see that she was maid to the other two .",,
['went forward saluted'],After the King had looked at them for a little he went forward and saluted them .,,
['king lost queen'],"The one that sat on the golden chair asked him who he was and where he was going ; and he told her all the story -- how he was a king , and had lost his queen , and was now on his way to Hetland the Good , to ask the Queen of that country in marriage .",,
['contrived wonderfully pirates'],"She answered that fortune had contrived this wonderfully , for pirates had plundered Hetland and killed the King , and she had fled from the land in terror , and had come hither after great trouble , and she was the very person he was looking for , and the others were her daughter and maid .",,
['asked hand gladly'],The King immediately asked her hand ; she gladly received his proposal and accepted him at once .,,
['set way ship'],"Thereafter they all set out , and made their way to the ship ; and after that nothing is told of their voyage until the King reached his own country .",,
['feast celebrated marriage'],"There he made a great feast , and celebrated his marriage with this woman ; and after that things are quiet for a time .",,
['little notice queen'],"Hermod and Hadvor took but little notice of the Queen and her daughter , but , on the other hand , Hadvor and the Queen 's maid , whose name was Olof , were very friendly , and Olof came often to visit Hadvor in her castle .",,
['wanted marry daughter'],"Before long the King went out to war , and no sooner was he away than the Queen came to talk with Hermod , and said that she wanted him to marry her daughter .",,
['queen grew terribly'],"Hermod told her straight and plain that he would not do so , at which the Queen grew terribly angry , and said that in that case neither should he have Hadvor , for she would now lay this spell on him , that he should go to a desert island and there be a lion by day and a man by night .",,
['hadvor cause sorrow'],"He should also think always of Hadvor , which would cause him all the more sorrow , and from this spell he should never be freed until Hadvor burned the lion 's skin , and that would not happen very soon .",,
['daughter mouse fight'],"As soon as the Queen had finished her speech Hermod replied that he also laid a spell on her , and that was , that as soon as he was freed from her enchantments she should become a rat and her daughter a mouse , and fight with each other in the hall until he killed them with his sword .",,
['hermod disappeared knew'],"After this Hermod disappeared , and no one knew what had become of him ; the Queen caused search to be made for him , but he could nowhere be found .",,
['hadvor asked princess'],"One time , when Olof was in the castle beside Hadvor , she asked the Princess if she knew where Hermod had gone to .",,
['hadvor sad said'],"At this Hadvor became very sad , and said that she did not . '",,
['said olof know'],"I shall tell you then , ' said Olof , ` for I know all about it .",,
['witch daughter beautiful'],"Hermod has disappeared through the wicked devices of the Queen , for she is a witch , and so is her daughter , though they have put on these beautiful forms .",,
['queen plans marry'],"Because Hermod would not fall in with the Queen 's plans , and marry her daughter , she has laid a spell on him , to go on an island and be a lion by day and a man by night , and never be freed from this until you burn the lion 's skin .",,
['beautiful prince married'],"Besides , ' said Olof , ` she has looked out a match for you ; she has a brother in the Underworld , a three-headed Giant , whom she means to turn into a beautiful prince and get him married to you .",,
['harm green cloak'],"This is no new thing for the Queen ; she took me away from my parents ' house and compelled me to serve her ; but she has never done me any harm , for the green cloak I wear protects me against all mischief .",,
['sadder thought marriage'],"Hadvor now became still sadder than before at the thought of the marriage destined for her , and entreated Olof to think of some plan to save her . '",,
['floor castle prepared'],"I think , ' said Olof , ` that your wooer will come up through the floor of the castle to you , and so you must be prepared when you hear the noise of his coming and the floor begins to open , and have at hand blazing pitch , and pour plenty of it into the opening .",,
['king thought disappearance'],"About this time the King came home from his expedition , and thought it a great blow that no one knew what had become of Hermod ; but the Queen consoled him as best she could , and after a time the King thought less about his disappearance .",,
['remained castle preparations'],"Hadvor remained in her castle , and had made preparations to receive her wooer when he came .",,
['rumbling heard castle'],"One night , not long after , a loud noise and rumbling was heard under the castle .",,
['told maids ready'],"Hadvor at once guessed what it was , and told her maids to be ready to help her .",,
['thundering grew louder'],"The noise and thundering grew louder and louder , until the floor began to open , whereupon Hadvor made them take the caldron of pitch and pour plenty of it into the opening .",,
['fainter till ceased'],"With that the noises grew fainter and fainter , till at last they ceased altogether .",,
['went palace gate'],"Next morning the Queen rose early , and went out to the Palace gate , and there she found her brother the Giant lying dead .",,
['spell beautiful prince'],"She went up to him and said , ' I pronounce this spell , that you become a beautiful prince , and that Hadvor shall be unable to say anything against the charges that I shall bring against her . '",,
['beautiful prince queen'],"The body of the dead Giant now became that of a beautiful prince , and the Queen went in again . '",,
['king daughter good'],"I do n't think , ' said she to the King , ` that your daughter is as good as she is said to be .",,
['asked hand death'],"My brother came and asked her hand , and she has had him put to death .",,
['just dead body'],I have just found his dead body lying at the Palace gate . ',,
['worthy match hadvor'],"The King went along with the Queen to see the body , and thought it all very strange ; so beautiful a youth , he said , would have been a worthy match for Hadvor , and he would readily have agreed to their marriage .",,
['queen asked leave'],"The Queen asked leave to decide what Hadvor 's punishment should be , which the King was very willing to allow , so as to escape from punishing his own daughter .",,
['queen decision king'],"The Queen 's decision was that the King should make a big grave-mound for her brother , and put Hadvor into it beside him .",,
['knew plans queen'],"Olof knew all the plans of the Queen , and went to tell the Princess what had been done , whereupon Hadvor earnestly entreated her to tell her what to do .",,
['wide cloak wear'],"` First and foremost , ' said Olof , ` you must get a wide cloak to wear over your other clothes , when you are put into the mound .",,
['giant ghost walk'],"The Giant 's ghost will walk after you are both left together in there , and he will have two dogs along with him .",,
['legs dogs promise'],"He will ask you to cut pieces out of his legs to give to the dogs , but that you must not promise to do unless he tells you where Hermod has gone to , and tells you how to find him .",,
['cheat catch cloak'],"He will then let you stand on his shoulders , so as to get out of the mound ; but he means to cheat you all the same , and will catch you by the cloak to pull you back again ; but you must take care to have the cloak loose on your shoulders , so that he will only get hold of that . '",,
['mound ready giant'],"The mound was all ready now , and the Giant laid in it , and into it Hadvor also had to go without being allowed to make any defence .",,
['happened just olof'],After they were both left there everything happened just as Olof had said .,,
['shoes travel land'],"The prince became a Giant again , and asked Hadvor to cut the pieces out of his legs for the dogs ; but she refused until he told her that Hermod was in a desert island , which she could not reach unless she took the skin off the soles of his feet and made shoes out of that ; with these shoes she could travel both on land and sea .",,
['did giant let'],"This Hadvor now did , and the Giant then let her get up on his shoulders to get out of the mound .",,
['cloak taken care'],"As she sprang out he caught hold of her cloak ; but she had taken care to let it lie loose on her shoulders , and so escaped .",,
['sea knew shortest'],"She now made her way down to the sea , to where she knew there was the shortest distance over to the island in which Hermod was .",,
['strait easily crossed'],"This strait she easily crossed , for the shoes kept her up .",,
['beach sea high'],"On reaching the island she found a sandy beach all along by the sea , and high cliffs above .",,
['lay fell asleep'],"Nor could she see any way to get up these , and so , being both sad at heart and tired with the long journey , she lay down and fell asleep .",,
['princess hadvor searching'],"As she slept she dreamed that a tall woman came to her and said , ' I know that you are Princess Hadvor , and are searching for Hermod .",,
['help climb cliffs'],"He is on this island ; but it will be hard for you to get to him if you have no one to help you , for you can not climb the cliffs by your own strength .",,
['let rope able'],"I have therefore let down a rope , by which you will be able to climb up ; and as the island is so large that you might not find Hermod 's dwelling-place so easily , I lay down this clew beside you .",,
['end thread clew'],"You need only hold the end of the thread , and the clew will run on before and show you the way .",,
['lay belt awaken'],"I also lay this belt beside you , to put on when you awaken ; it will keep you from growing faint with hunger . '",,
['disappeared hadvor woke'],"The woman now disappeared , and Hadvor woke , and saw that all her dream had been true .",,
['rope hung cliff'],"The rope hung down from the cliff , and the clew and belt lay beside her .",,
['climb cliff clew'],"The belt she put on , the rope enabled her to climb up the cliff , and the clew led her on till she came to the mouth of a cave , which was not very big .",,
['couch crept lay'],"She went into the cave , and saw there a low couch , under which she crept and lay down .",,
['heard noise footsteps'],"When evening came she heard the noise of footsteps outside , and became aware that the lion had come to the mouth of the cave , and shook itself there , after which she heard a man coming towards the couch .",,
['hermod heard speaking'],"She was sure this was Hermod , because she heard him speaking to himself about his own condition , and calling to mind Hadvor and other things in the old days .",,
['asleep crept burned'],"Hadvor made no sign , but waited till he had fallen asleep , and then crept out and burned the lion 's skin , which he had left outside .",,
['cave wakened hermod'],"Then she went back into the cave and wakened Hermod , and they had a most joyful meeting .",,
['morning talked plans'],"In the morning they talked over their plans , and were most at a loss to know how to get out of the island .",,
['told hermod dream'],"Hadvor told Hermod her dream , and said she suspected there was some one in the island who would be able to help them .",,
['witch ready help'],"Hermod said he knew of a Witch there , who was very ready to help anyone , and that the only plan was to go to her .",,
['witch cave young'],"So they went to the Witch 's cave , and found her there with her fifteen young sons , and asked her to help them to get to the mainland .",,
['turned big whale'],"` There are other things easier than that , ' said she , ` for the Giant that was buried will be waiting for you , and will attack you on the way , as he has turned himself into a big whale .",,
['whale think lives'],"I shall lend you a boat , however , and if you meet the whale and think your lives are in danger , then you can name me by name . '",,
['huge fish coming'],"They thanked her greatly for her help and advice , and set out from the island , but on the way they saw a huge fish coming towards them , with great splashing and dashing of waves .",,
['good reason witch'],"They were sure of what it was , and thought they had as good reason as ever they would have to call on the Witch , and so they did .",,
['huge whale followed'],"The next minute they saw coming after them another huge whale , followed by fifteen smaller ones .",,
['went meet whale'],All of these swam past the boat and went on to meet the whale .,,
['battle sea stormy'],"There was a fierce battle then , and the sea became so stormy that it was not very easy to keep the boat from being filled by the waves .",,
['blood big whale'],"After this fight had gone on for some time , they saw that the sea was dyed with blood ; the big whale and the fifteen smaller ones disappeared , and they got to land safe and sound .",,
['king hall strange'],"Now the story goes back to the King 's hall , where strange things had happened in the meantime .",,
['rat mouse fighting'],"The Queen and her daughter had disappeared , but a rat and a mouse were always fighting with each other there .",,
['tried drive away'],"Ever so many people had tried to drive them away , but no one could manage it .",,
['monsters destroyed mirth'],"Thus some time went on , while the King was almost beside himself with sorrow and care for the loss of his Queen , and because these monsters destroyed all mirth in the hall .",,
['sword saluted king'],"One evening , however , while they all sat dull and down-hearted , in came Hermod with a sword by his side , and saluted the King , who received him with the greatest joy , as if he had come back from the dead .",,
['mouse fighting cut'],"Before Hermod sat down , however , he went to where the rat and the mouse were fighting , and cut them in two with his sword .",,
['astonished seeing witches'],All were astonished then by seeing two witches lying dead on the floor of the hall .,,
['story king glad'],"Hermod now told the whole story to the King , who was very glad to be rid of such vile creatures .",,
['hand hadvor king'],"Next he asked for the hand of Hadvor , which the King readily gave him , and being now an old man , gave the kingdom to him as well ; and so Hermod became King .",,
['nobleman end story'],"Olof married a good-looking nobleman , and that is the end of the story .",,
['guns looked straight'],"Their uniform was red and blue , and they shouldered their guns and looked straight in front of them .",,
['box lay taken'],"The first words that they heard in this world , when the lid of the box in which they lay was taken off , were : ` Hurrah , tin-soldiers ! '",,
['little boy clapping'],"This was exclaimed by a little boy , clapping his hands ; they had been given to him because it was his birthday , and now he began setting them out on the table .",,
['soldier exactly like'],"Each soldier was exactly like the other in shape , except just one , who had been made last when the tin had run short ; but there he stood as firmly on his one leg as the others did on two , and he is the one that became famous .",,
['cardboard windows rooms'],"There were many other playthings on the table on which they were being set out , but the nicest of all was a pretty little castle made of cardboard , with windows through which you could see into the rooms .",,
['looked like lake'],In front of the castle stood some little trees surrounding a tiny mirror which looked like a lake .,,
['wax swans floating'],Wax swans were floating about and reflecting themselves in it .,,
['stood open doorway'],"That was all very pretty ; but the most beautiful thing was a little lady , who stood in the open doorway .",,
['finest muslin scarf'],"She was cut out of paper , but she had on a dress of the finest muslin , with a scarf of narrow blue ribbon round her shoulders , fastened in the middle with a glittering rose made of gold paper , which was as large as her head .",,
['dancer lifting leg'],"The little lady was stretching out both her arms , for she was a Dancer , and was lifting up one leg so high in the air that the Tin-soldier could n't find it anywhere , and thought that she , too , had only one leg .",,
['castle whilst box'],"` That 's the wife for me ! 'he thought ; ` but she is so grand , and lives in a castle , whilst I have only a box with four-and-twenty others .",,
['continued stand leg'],"Then he stretched himself out behind a snuff-box that lay on the table ; from thence he could watch the dainty little lady , who continued to stand on one leg without losing her balance .",,
['house went bed'],"When the night came all the other tin-soldiers went into their box , and the people of the house went to bed .",,
['toys began play'],"Then the toys began to play at visiting , dancing , and fighting .",,
['tin soldiers rattled'],"The tin-soldiers rattled in their box , for they wanted to be out too , but they could not raise the lid .",,
['leap frog slate'],"The nut-crackers played at leap-frog , and the slate-pencil ran about the slate ; there was such a noise that the canary woke up and began to talk to them , in poetry too !",,
['soldier little dancer'],The only two who did not stir from their places were the Tin-soldier and the little Dancer .,,
['stood steadfastly leg'],"She remained on tip-toe , with both arms outstretched ; he stood steadfastly on his one leg , never moving his eyes from her face .",,
['clock struck crack'],"The clock struck twelve , and crack !off flew the lid of the snuff-box ; but there was no snuff inside , only a little black imp -- that was the beauty of it .",,
['hullo tin soldier'],"` Hullo , Tin-soldier ! 'said the imp .",,
['look things intended'],` Do n't look at things that are n't intended for the likes of you ! ',,
['tin soldier took'],"But the Tin-soldier took no notice , and seemed not to hear .",,
['till morrow said'],"` Very well , wait till to-morrow ! 'said the imp .",,
['window flew open'],"When it was morning , and the children had got up , the Tin-soldier was put in the window ; and whether it was the wind or the little black imp , I do n't know , but all at once the window flew open and out fell the little Tin-soldier , head over heels , from the third-storey window !",,
['terrible fall tell'],"That was a terrible fall , I can tell you !",,
['landed head leg'],"He landed on his head with his leg in the air , his gun being wedged between two paving-stones .",,
['nursery maid little'],"The nursery-maid and the little boy came down at once to look for him , but , though they were so near him that they almost trod on him , they did not notice him .",,
['think fitting uniform'],"If the Tin-soldier had only called out ` Here I am ! 'they must have found him ; but he did not think it fitting for him to cry out , because he had on his uniform .",,
['began drizzle drops'],"Soon it began to drizzle ; then the drops came faster , and there was a regular down-pour .",,
['street boys came'],"When it was over , two little street boys came along .",,
['just look cried'],` Just look ! 'cried one .,,
['shall sail boat'],He shall sail up and down in a boat ! ',,
['boys ran clapping'],"So they made a little boat out of newspaper , put the Tin-soldier in it , and made him sail up and down the gutter ; both the boys ran along beside him , clapping their hands .",,
['waves gutter swift'],"What great waves there were in the gutter , and what a swift current !",,
['straight shouldering gun'],"The paper-boat tossed up and down , and in the middle of the stream it went so quick that the Tin-soldier trembled ; but he remained steadfast , showed no emotion , looked straight in front of him , shouldering his gun .",,
['long tunnel dark'],All at once the boat passed under a long tunnel that was as dark as his box had been .,,
['black imp fault'],This is the black imp 's fault !,,
['boat twice dark'],"Ah , if only the little lady were sitting beside me in the boat , it might be twice as dark for all I should care ! '",,
['great water rat'],Suddenly there came along a great water-rat that lived in the tunnel .,,
['passport asked rat'],` Have you a passport ? 'asked the rat .,,
